Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
6/10/2013,48291.74,48572.75,48291.74,48495.01,90888205
6/11/2013,48482.88,48482.88,48096.14,48324.52,80868808
6/12/2013,48333.46,48523.49,48257.19,48383.93,111026853
6/13/2013,48005.9,48321.96,47890.62,48152.82,119512132
6/14/2013,48433.49,48494.61,48227.91,48273.42,84470184
6/17/2013,48358.85,48375.31,48021.52,48131.61,103758107
6/18/2013,48221.5,48279.3,48061.9,48119.72,77447196
6/19/2013,48284.78,48284.78,47708.51,47743.1,74804807
6/20/2013,47345.23,47357.67,45852.41,45870,161393868
6/21/2013,45756.79,45959.09,44497.43,44732.92,215507594
6/24/2013,44782.24,45018.58,44566.68,44824.62,74169532
6/25/2013,45032.52,45187.4,44929.76,44966.09,78819065
6/26/2013,44181.63,44980.74,43845.43,44893.99,90498461
6/27/2013,45079.88,45114.75,43329.16,43667.37,80022639
6/28/2013,43751.8,44748.75,43509.66,44747.79,116755923
7/1/2013,44759.97,44991.35,44577.75,44769,179520049
7/2/2013,44929.52,45653.43,44727.49,45533.94,141633656
7/3/2013,45250.19,45378.8,44761.05,45184.98,101648194
7/4/2013,45329.03,45621.14,45140.93,45613.75,67709415
7/5/2013,45721.56,45766.72,44965.33,45110.89,97243339
7/8/2013,45190.41,45190.41,44534.34,44534.34,43337083
7/9/2013,44743.22,44752.54,44099.12,44342.23,60719741
7/10/2013,44423.23,45068.55,44363.28,45068.55,50166474
7/11/2013,45551.3,45747.94,45515.72,45712.72,53899437
7/12/2013,45742.96,46189.6,45628.81,46150.78,74101569
7/15/2013,46115.63,46222.99,45927.79,46218.05,64869189
7/16/2013,46291.4,46306.83,46046.89,46155.1,62132612
7/17/2013,46104.19,46428.38,45950.17,46287.08,98084933
7/18/2013,46305.71,46332.4,45860,46221.23,53507851
7/19/2013,46099.43,46432.6,45990.55,46399.74,46943403
7/22/2013,46478.98,46550.75,46275.18,46361.7,34873711
7/23/2013,46458.8,46714.43,46423.06,46714.43,64468251
7/24/2013,46651.67,46903.79,46556.77,46835.98,58962958
7/25/2013,46819.28,46838.61,46415.3,46713.02,49349046
7/26/2013,46562.04,46588.81,46251.22,46258.91,48123378
7/29/2013,46313.53,46480.62,46155.96,46480.62,50530854
7/30/2013,46584.53,46663.5,46417.3,46663.41,37616093
7/31/2013,46598.7,47239.85,46572.91,46925.65,77779889
8/1/2013,47210.72,47496.81,47149.82,47370.81,62145240
8/2/2013,47515.42,48424.67,47512.99,48325.33,109370384
8/5/2013,48436.26,48486.69,48235.72,48458.44,51199015
8/6/2013,48416,48431.85,47874,47942.81,68285923
8/7/2013,47861.12,48306.55,47708.32,48306.55,88622272
8/8/2013,48396.72,49162.29,48396.72,48862.88,80766836
8/9/2013,49016.62,49125.36,48639.47,49125.36,54377897
8/12/2013,49154.84,49646.03,48982.65,49580.16,87810146
8/13/2013,49732.37,49868.6,49474.33,49747.66,91833293
8/14/2013,49701.32,50359.55,49701.32,50223.95,122250427
8/16/2013,50146.48,50228.44,49920.25,49976.48,60534007
8/19/2013,50018.45,50018.45,49430.57,49772.46,85381652
8/20/2013,49349.23,49363.26,49032.18,49162.16,123861444
8/21/2013,49369.85,49546.68,49128.05,49128.05,104642540
8/22/2013,49253.68,49847.41,49253.68,49846.48,84688272
8/23/2013,49852.41,50086.52,49718.57,49895.1,115631094
8/26/2013,50107.3,50257.98,49818.48,49818.48,76451647
8/27/2013,49683.87,49701.1,48816.29,48833.58,88942907
8/28/2013,48681.3,48812.94,48307.58,48537.65,71969726
8/29/2013,48860.13,48948.18,48524.9,48676.45,90645546
8/30/2013,48834.98,48872.28,48469.42,48871.98,101932533
9/2/2013,49250.57,49389.13,49142.13,49187.22,81972106
9/3/2013,49299.3,49399.47,48917.76,48968.87,185200062
9/4/2013,49037.98,49243.71,47844.92,47919.09,120341269
9/5/2013,47417.78,47417.78,45017.11,45830.66,187617259
9/6/2013,45963.46,47021.09,45958.41,46717.04,131668403
9/9/2013,47096.14,47808.9,46944.08,47808.9,63980676
9/10/2013,48244.34,48961.51,48187.61,48961.51,134125827
9/11/2013,49017.77,49437.02,48622.86,49437.02,134846239
9/12/2013,49304.57,49771.55,49243.25,49771.55,95553698
9/13/2013,49622.41,49661.13,49348.03,49348.61,112453840
9/16/2013,49871.66,49878.41,48862.18,48917.85,115641826
9/17/2013,49007.42,49434.46,48889.3,49434.46,102437220
9/18/2013,49372.36,49567.99,49209.11,49413.33,148615955
9/19/2013,50359.86,50484.96,49988.82,50300.53,143571714
9/20/2013,50284.87,50335.62,49911.43,50308.19,116056629
9/23/2013,50182.15,50379.21,49821.46,49955.87,98187512
9/24/2013,50059.2,50177.8,49835.34,49979.47,68467075
9/25/2013,49912.36,50397.98,49776.84,50301.69,120326196
9/26/2013,50497.28,50972.77,50446.51,50936.34,120220433
9/27/2013,51053.71,51149.71,50723.71,50819.81,100748195
9/30/2013,50503.7,50583.02,50289.23,50301.85,89353882
10/1/2013,50087.47,50782.48,50087.47,50782.48,84382298
10/2/2013,50691.13,50827.69,50450.73,50803.4,79502967
10/3/2013,50847.32,51096.21,50847.32,50982.03,179938055
10/4/2013,50926.83,50949.04,50545.03,50601.24,125026250
10/7/2013,50453.02,50480.54,50049.74,50338.71,74769744
10/8/2013,50360.47,50400.65,50089.38,50137.88,90917137
10/9/2013,50101.18,50353.66,49899.25,50335.02,104177526
10/10/2013,50543.9,51835.81,50543.9,51806.83,140456484
10/11/2013,52046.56,52332.04,51839.84,52230.47,94040565
10/14/2013,52072.73,52612.83,52022.86,52520.91,150547668
10/15/2013,52815.48,53345.22,52590.73,52590.73,115878581
10/16/2013,52618.67,53031.33,52545.04,52861.41,111175273
10/17/2013,52865.03,53064.73,52563.02,52573.59,118185108
10/18/2013,52617.6,52619.96,51859.92,52587.24,113448575
10/21/2013,52746.85,53853.55,52746.85,53853.55,89411266
10/22/2013,53958.11,54048.28,53629.11,53781.81,112371703
10/23/2013,53639.2,53639.2,53318.08,53389.74,74198897
10/24/2013,53640.26,53994.46,53640.26,53994.46,107398756
10/25/2013,53867.09,54064.71,53634.01,53887.13,82307916
10/28/2013,54194.89,54359.2,54136.18,54180.04,119005950
10/29/2013,54234.35,54682.68,54224.94,54536.95,114716499
10/30/2013,54636.47,54725.86,54012.01,54095.32,141607740
10/31/2013,53999.66,54072.99,53573.65,53607.86,80940483
11/4/2013,53886.25,53989.37,53670.53,53989.37,131605932
11/5/2013,54189.32,54261.48,53468.72,53504.47,91854689
11/6/2013,53662.98,53924.01,53604.21,53924.01,84878328
11/7/2013,53825.17,54158.15,53609,53785.07,63071793
11/8/2013,53488.12,53530.99,53106.62,53305.36,84193851
11/12/2013,53430.78,53591.35,53352.99,53358.29,66902250
11/13/2013,53213.21,53254.34,52554.81,52681.33,71953303
11/14/2013,53130.89,53298.41,52954.08,53127.16,115460095
11/15/2013,53368.58,53970.47,53368.58,53896.03,108656283
11/18/2013,54058.62,55146.76,54046.33,55136.81,119631724
11/19/2013,55031.11,55035.65,54746.75,54778.86,99807610
11/20/2013,54770.08,54866.21,54535.98,54778.8,126331683
11/21/2013,54546.55,54745.13,54417.98,54621.21,104831518
11/22/2013,54862.74,54907,54667.82,54834.12,122163605
11/25/2013,55281.87,55384.83,55010.03,55246.4,115641921
11/26/2013,54907.83,54907.83,54357.62,54544.73,130635251
11/27/2013,54509.31,54678.66,54344.71,54678.66,73070974
11/28/2013,54679.05,54759.15,54305.26,54420.19,59161704
11/29/2013,54444.1,54715.82,54366.79,54704.89,100064639
12/2/2013,54627.26,54790.24,53934.52,53934.52,85966715
12/3/2013,54025.72,54025.72,53249.68,53276.83,95687949
12/4/2013,53222.49,53285.49,52535.56,52867.03,89685149
12/5/2013,52837.25,52900.48,52574.8,52597.13,78507469
12/6/2013,52837.58,52898.67,52513.14,52727.52,107207849
12/9/2013,53113.49,53186.73,52881.29,52881.29,101399661
12/10/2013,52897.23,52994.18,52098.54,52692.63,102071644
12/11/2013,52597.73,52882.92,52548.23,52643.16,115071682
12/12/2013,52357.87,52357.87,51749.77,51947.96,91348387
12/13/2013,52056.06,52121.94,51443.27,51761.82,75781240
12/16/2013,51676.28,51808.53,51478.15,51736.02,68998550
12/17/2013,51708.54,51717.16,50779.25,50779.25,95247804
12/18/2013,50764.71,51264.86,50435.09,50971.57,105003305
12/19/2013,51438.39,51507.01,50409.52,50631.75,94146795
12/20/2013,50546.42,51097.75,50542.68,51097.75,144879250
12/23/2013,51434.96,51520.72,51300.13,51362.3,63866103
12/27/2013,51567.65,51572.99,51248.2,51267.29,62805427
12/30/2013,51346.22,51365.35,51168.36,51284.25,57720459
1/2/2014,51670.42,51878.73,51494.42,51865.89,56942959
1/3/2014,51699.47,51785.32,51497.81,51497.81,53144300
1/7/2014,51213.21,51213.21,50412.37,50444.78,82385316
1/8/2014,50434.79,50610,50083.78,50482.93,170293809
1/9/2014,50409.08,50505.04,49753.03,49753.03,96024358
1/10/2014,49681.48,49796.5,49320.57,49796.5,107327936
1/13/2014,49943.58,50616.34,49927.54,50444.23,107401999
1/14/2014,50267.5,50766.49,50159.63,50605.74,101703537
1/15/2014,51031.56,51117.85,50885.72,51098.55,136511781
1/16/2014,51214.12,51526.78,50956.91,51288.7,98307893
1/17/2014,51281.76,51321.91,50888.66,50925.12,67080607
1/20/2014,50879.23,50947.75,50742.97,50917.69,66495005
1/21/2014,51015.67,51630.37,51015.67,51506.82,92656833
1/22/2014,51766.14,52051.68,51529.19,51906.45,146349264
1/23/2014,51902.94,52074.67,51569.21,51569.21,218120085
1/24/2014,51557.02,51673.61,50593.45,50593.45,120828304
1/27/2014,50188.76,50492.99,49865.08,50041.93,89282354
1/28/2014,50277.73,50524.89,50076.13,50433.71,93131733
1/29/2014,50775.67,50998.76,49927.81,50128.34,172034552
1/30/2014,49870.85,50462.7,49577.02,50417.17,113421257
1/31/2014,50408.01,50831.61,50244.62,50831.61,116394994
2/3/2014,50934.2,51396.02,50934.2,51121.82,113027419
